LOOKUP,RETURN,REGION
MAROONDAH CITY,Maroondah (C),Metro
Marrickville (A),Marrickville (A),Interstate
Meander Valley (M),Meander Valley (M),Interstate
Melbourne (C),Melbourne (C),Metro
MELBOURNE CITY,Melbourne (C),Metro
Melton (C),Melton (C),Metro
MELTON CITY,Melton (C),Metro
Melville (C),Melville (C),Interstate
Menzies (S),Menzies (S),Interstate
Merredin (S),Merredin (S),Interstate
Mid Murray (DC),Mid Murray (DC),Interstate
Mid-Western Regional (A),Mid-Western Regional (A),Interstate
Mildura (RC),Mildura (RC),Regional
MILDURA RURAL CITY,Mildura (RC),Regional
Mitcham (C),Mitcham (C),Interstate
Mitchell (S),Mitchell (S),Regional
MITCHELL SHIRE,Mitchell (S),Regional
Moira (S),Moira (S),Regional
MOIRA SHIRE,Moira (S),Regional
Monash (C),Monash (C),Metro
MONASH CITY,Monash (C),Metro
Moonee Valley (C),Moonee Valley (C),Metro
MOONEE VALLEY CITY,Moonee Valley (C),Metro
Moorabool (S),Moorabool (S),Regional
MOORABOOL SHIRE,Moorabool (S),Regional
Moree Plains (A),Moree Plains (A),Interstate
Moreland (C),Moreland (C),Metro
MORELAND CITY,Moreland (C),Metro
Moreton Bay (R),Moreton Bay (R),Interstate
Mornington Peninsula (S),Mornington Peninsula (S),Metro
MORNINGTON PENINSULA SHIRE,Mornington Peninsula (S),Metro
Mosman (A),Mosman (A),Interstate
Mosman Park (T),Mosman Park (T),Interstate
Mount Alexander (S),Mount Alexander (S),Regional
MOUNT ALEXANDER SHIRE,Mount Alexander (S),Regional
Mount Barker (DC),Mount Barker (DC),Interstate
Mount Gambier (C),Mount Gambier (C),Interstate
Mount Isa (C),Mount Isa (C),Interstate
Moyne (S),Moyne (S),Regional
MOYNE SHIRE,Moyne (S),Regional
Mundaring (S),Mundaring (S),Interstate
Murray (A),Murray (A),Interstate
Murray (S),Murray (S),Interstate
Murray Bridge (RC),Murray Bridge (RC),Interstate
Murrindindi (S),Murrindindi (S),Regional
MURRINDINDI SHIRE,Murrindindi (S),Regional
Murrumbidgee (A),Murrumbidgee (A),Interstate
Murweh (S),Murweh (S),Interstate
Muswellbrook (A),Muswellbrook (A),Interstate
Nambucca (A),Nambucca (A),Interstate
Naracoorte and Lucindale (DC),Naracoorte and Lucindale (DC),Interstate
Narembeen (S),Narembeen (S),Interstate
Narrabri (A),Narrabri (A),Interstate
Narrandera (A),Narrandera (A),Interstate
Narromine (A),Narromine (A),Interstate
Nedlands (C),Nedlands (C),Interstate
Newcastle (C),Newcastle (C),Interstate
Nillumbik (S),Nillumbik (S),Metro
NILLUMBIK SHIRE,Nillumbik (S),Metro
Noosa (S),Noosa (S),Interstate
North Burnett (R),North Burnett (R),Interstate
North Sydney (A),North Sydney (A),Interstate
Northam (S),Northam (S),Interstate
Northern Areas (DC),Northern Areas (DC),Interstate
Northern Grampians (S),Northern Grampians (S),Regional
NORTHERN GRAMPIANS SHIRE,Northern Grampians (S),Regional
Northern Midlands (M),Northern Midlands (M),Interstate
Norwood Payneham St Peters (C),Norwood Payneham St Peters (C),Interstate
Oberon (A),Oberon (A),Interstate
Onkaparinga (C),Onkaparinga (C),Interstate
Orange (C),Orange (C),Interstate
Orroroo/Carrieton (DC),Orroroo/Carrieton (DC),Interstate
Overseas,Overseas,Overseas
Palerang (A),Palerang (A),Interstate
Palmerston (C),Palmerston (C),Interstate
Parkes (A),Parkes (A),Interstate
Parramatta (C),Parramatta (C),Interstate
Penrith (C),Penrith (C),Interstate
Perth (C),Perth (C),Interstate
Pittwater (A),Pittwater (A),Interstate
Playford (C),Playford (C),Interstate
Port Adelaide Enfield (C),Port Adelaide Enfield (C),Interstate
Port Augusta (C),Port Augusta (C),Interstate
Port Hedland (T),Port Hedland (T),Interstate
Port Lincoln (C),Port Lincoln (C),Interstate
Port Macquarie-Hastings (A),Port Macquarie-Hastings (A),Interstate
Port Phillip (C),Port Phillip (C),Metro
PORT PHILLIP CITY,Port Phillip (C),Metro
Port Pirie City and Dists (M),Port Pirie City and Dists (M),Interstate
Port Stephens (A),Port Stephens (A),Interstate
Prospect (C),Prospect (C),Interstate
Pyrenees (S),Pyrenees (S),Regional
PYRENEES SHIRE,Pyrenees (S),Regional
Queanbeyan (C),Queanbeyan (C),Interstate
Queenscliffe (B),Queenscliffe (B),Regional
